		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001101101   25   29   26   24   30   31   24   21 410.033387 0.000000 FAILURE  45
001101111  109  103   80   96   82   90   84   99  8.812252 0.358381 SUCCESS  46
001110101   24   33   35   38   39   33   30   33 332.726969 0.000000 FAILURE  47
001110111  149  126  104  113   77  101   85  122 60.612035 0.000000 FAILURE  48
001111011  107  112  108  128   92   91  115  128 35.887471 0.000018 FAILURE  49
001111101   97  106   99   92   89   70   82   82 12.252553 0.140286 SUCCESS  50
001111111  471  505  287  361  307  303  310  391 6997.467341 0.000000 FAILURE  51
010000011   63   90  114  116  122  114  108  111 37.337942 0.000010 FAILURE  52
010000111  101   87  116  119   98  119  114  113 26.851474 0.000750 FAILURE  53
010001011   25   38   37   27   29   32   24   24 373.603334 0.000000 FAILURE  54
010001111  111  113   97  129  101  100  119  112 30.006734 0.000211 FAILURE  55
010010011   24   24   28   24   25   27   27   25 418.336127 0.000000 FAILURE  56
010010111   32   35   34   27   35   39   23   37 337.238823 0.000000 FAILURE  57
010011011   27   31   16   18   22   20   33   15 455.625061 0.000000 FAILURE  58
010011111  134  134  113   95  102   76   82  113 47.280952 0.000000 FAILURE  59
010100011   24   22   36   30   24   22   39   39 375.504068 0.000000 FAILURE  60
010100111   35   33   38   33   33   29   17   32 354.543422 0.000000 FAILURE  61
010101011   15   10   10   12    8   15    8    9 614.267059 0.000000 FAILURE  62
010101111   36   37   33   32   36   28   29   36 329.267551 0.000000 FAILURE  63
010110011   27   32   42   33   32   36   33   28 335.399876 0.000000 FAILURE  64
010110111   59   44   28   39   35   28   33   36 290.968510 0.000000 FAILURE  65
010111011   38   38   34   28   32   40   27   33 326.066548 0.000000 FAILURE  66
010111111  144  155  100   88  114  105   67  135 98.510310 0.000000 FAILURE  67
011000111   80   72   78   84   78   79   63   71 35.044976 0.000026 FAILURE  68
011001111  121  127   97  112   98   86   91   90 23.655934 0.002617 FAILURE  69
011010111   42   40   20   26   33   38   31   32 339.205099 0.000000 FAILURE  70
011011111  157  144   90  113   90   93   91  110 75.907687 0.000000 FAILURE  71
011101111  173  170  115  130   88  121   93  139 176.707015 0.000000 FAILURE  72
011111111  706  744  346  436  367  382  361  519 15104.553549 0.000000 FAILURE  73
100000000  457  409  811  666  828  790  803  650 31689.770897 0.000000 FAILURE  74
100010000  107  117  164  163  159  183  178  147 346.801208 0.000000 FAILURE  75
100100000   93  110  173  136  163  191  167  139 319.249440 0.000000 FAILURE  76
100101000   25   28   38   38   31   31   46   38 321.285014 0.000000 FAILURE  77
100110000  101  103  132  140  120  124  130   98 69.018891 0.000000 FAILURE  78
100111000   78   68   93   74   66   97   67   84 34.154007 0.000038 FAILURE  79
101000000  135  111  140  154  183  157  191  149 342.839297 0.000000 FAILURE  80
101000100   28   40   43   40   47   51   48   27 262.505973 0.000000 FAILURE  81
101001000   38   31   52   38   43   57   51   38 234.931675 0.000000 FAILURE  82
101001100   33   26   35   29   30   43   26   41 336.907355 0.000000 FAILURE  83
101010000   29   34   42   58   46   38   43   51 243.281864 0.000000 FAILURE  84
101010100   16   13    6   13   12    9   11   14 601.634755 0.000000 FAILURE  85
101011000   28   27   31   36   37   28   32   35 347.165789 0.000000 FAILURE  86
101011100   28   24   24   41   28   29   30   20 391.410426 0.000000 FAILURE  87
101100000  103   87  132  115  121  135  125  105 57.686515 0.000000 FAILURE  88
101100100   18   21   30   35   25   36   30   26 395.922280 0.000000 FAILURE  89
101101000   35   31   33   39   44   25   44   37 304.042202 0.000000 FAILURE  90
