		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100010   84   85   98  105   83   84   96   88  6.789991 0.559451 SUCCESS 107
110100100   93   92  105  108  101   81   98  100  6.124666 0.633270 SUCCESS 108
110101000   91   97   98   81  102   96  104  109  6.168361 0.628379 SUCCESS 109
110101010   75   96   85   90   79   90  102   93  9.045406 0.338480 SUCCESS 110
110101100   97  103   97  106   76   92   85   96  7.205435 0.514639 SUCCESS 111
110110000   83   83   86   99   94  101  103   94  5.207411 0.735195 SUCCESS 112
110110010   95   96   97  101   93  110   95   88  3.601619 0.891162 SUCCESS 113
110110100   78   98   94   86  102  101  101  111  8.357550 0.399345 SUCCESS 114
110111000   97  102   97   89  102  100  105   90  3.356858 0.910011 SUCCESS 115
110111010  102  120   94   92   99   99  109   89 10.680556 0.220464 SUCCESS 116
110111100  106   88   86  101   96   89  104   96  4.487467 0.810686 SUCCESS 117
111000000  111  100   90   96   98  109   80  102  8.781870 0.361030 SUCCESS 118
111000010   88   84  100   92   96   85   97   80  5.570285 0.695241 SUCCESS 119
111000100   98   87   90   81   92   88   89   89  4.311322 0.828000 SUCCESS 120
111000110  107  100  106   99   96   94  105   88  5.252472 0.730282 SUCCESS 121
111001000  108   95   85   89  104   83   88   94  6.244827 0.619828 SUCCESS 122
111001010   98   91  102  105   83   83   93   88  5.513277 0.701569 SUCCESS 123
111001100   99   77   85   98   91   98   80   99  7.583329 0.475192 SUCCESS 124
111010000   85  105  106   98   95  110   90   80  8.867553 0.353592 SUCCESS 125
111010010   80  104  100  101   77   75   95   98 11.810482 0.159862 SUCCESS 126
111010100   77   96   99   78  102   97  104  120 15.275704 0.054001 SUCCESS 127
111010110   97   96   93  102  104   86   81   89  4.860923 0.772332 SUCCESS 128
111011000   93   78   78   95  109  115  101   85 14.320216 0.073792 SUCCESS 129
111011010   81  107   96   90  113  104  100   99  9.094563 0.334382 SUCCESS 130
111011100   87   91  100   99  110  107  108  106  8.874039 0.353033 SUCCESS 131
111100000  106   88   99   94  102   91   83  100  4.629818 0.796309 SUCCESS 132
111100010  108   90   94   89   86   84  119   97 11.125358 0.194697 SUCCESS 133
111100100  114  115  103   99  101   88   91   99 10.832806 0.211354 SUCCESS 134
111100110   95   81   93   82   89  104   98  107  6.910835 0.546283 SUCCESS 135
111101000   76   99   96  109  102  106  101   76 12.509262 0.129887 SUCCESS 136
111101010   85   99   91   91  102  100  108  106  5.760085 0.674085 SUCCESS 137
111101100   92  104   86   89  102  108   96   96  4.767047 0.782160 SUCCESS 138
111101110  100   97   97   89  114   97  109  118 13.107337 0.108209 SUCCESS 139
111110000   93   95   72   97  114   85   82   82 14.316802 0.073873 SUCCESS 140
111110010  114   93  102  102  104   90   87   89  7.467947 0.487085 SUCCESS 141
111110100   88  107   88  116  106   95   91   85 10.173967 0.253027 SUCCESS 142
111110110  108  115   97   87  100  111  106   87 12.423920 0.133268 SUCCESS 143
111111000  101   85   88   81  109  103   94   89  7.344030 0.500010 SUCCESS 144
