		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000001001  117   98   78  101   84   89   95   91 10.784673 0.214201 SUCCESS   4
000001011   84  102   98   88   91   94   86   85  4.433531 0.816046 SUCCESS   5
000001101   93   85  108  108   91   98   93   78  8.268454 0.407696 SUCCESS   6
000001111   90  105   91   70   80   91  111   89 13.962804 0.082740 SUCCESS   7
000010001   90   71   88   80   94   79   81   96 13.946419 0.083173 SUCCESS   8
000010011   97   95   76   77   79   91   88   91 10.744050 0.216628 SUCCESS   9
000010101   89   78   96  106   91   72  100  116 15.850225 0.044575 SUCCESS  10
000010111   86   98   97  101   94  113   87   93  5.787053 0.671071 SUCCESS  11
000011001  100   83   98   86  110   95  115  108 11.763032 0.162094 SUCCESS  12
000011011   89   92   98   95   91   90  101   96  1.393995 0.994331 SUCCESS  13
000011101  104  102   91   95  107   99  101   75  8.215200 0.412736 SUCCESS  14
000011111  102   80   82   90   77   91   91   93  8.667171 0.371146 SUCCESS  15
000100011   98   84   92   88   96   96   87   87  3.253765 0.917438 SUCCESS  16
000100101  107  115   78  116   85   84   88   96 16.951135 0.030622 SUCCESS  17
000100111   93   85   83   92   92  101   86   87  4.598412 0.799508 SUCCESS  18
000101001   96  102  103  108   94   88   75  108  9.963002 0.267632 SUCCESS  19
000101011   76   85  104  103   91   95   92  111  9.677277 0.288411 SUCCESS  20
000101101   85  105   96  102   98   98   72  115 13.164004 0.106330 SUCCESS  21
000101111   91   98  105   93   97   92   94   85  2.628039 0.955493 SUCCESS  22
000110011  103   88   91   87   92  101  100  106  4.261482 0.832795 SUCCESS  23
000110101   92   88   97   88   97  103   96  119  8.411145 0.394372 SUCCESS  24
000110111   97   92  100   87   90   96   97  100  1.717270 0.988487 SUCCESS  25
000111001   88   91   94   91   82   76   81   85  9.412035 0.308738 SUCCESS  26
000111011  103   97   97   96  108   87   98   77  7.011197 0.535425 SUCCESS  27
000111101   89   92  104   87   88  104   99   92  3.742262 0.879597 SUCCESS  28
000111111   92   85   86   97   91  106   96   94  3.553827 0.894972 SUCCESS  29
001000011   74   84   86  106   90   99   79   93 11.291945 0.185700 SUCCESS  30
001000101   74   84   81  100   94   79   88   95 11.439416 0.178022 SUCCESS  31
001000111   87   90   90   91   91   92   96   75  5.738921 0.676450 SUCCESS  32
